epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,13767.2,0.40582,0.64525,0.8325,0.93865,0.93965,0.97941,0.91628,0.43481,0.45938,0.82586,0.0002377,0.0002377,0.0002377
79,13965.9,0.41152,0.66655,0.83197,0.93214,0.9459,0.97216,0.91063,0.42871,0.47077,0.82374,0.0002278,0.0002278,0.0002278
80,14164.4,0.4057,0.65061,0.82621,0.94829,0.94206,0.97049,0.9088,0.43262,0.46716,0.82466,0.0002179,0.0002179,0.0002179
81,14323.3,0.40512,0.64944,0.82659,0.96245,0.92767,0.97492,0.90869,0.43421,0.45792,0.8241,0.000208,0.000208,0.000208
82,14483.8,0.40524,0.6408,0.82542,0.9648,0.93192,0.97887,0.91702,0.42794,0.45792,0.82045,0.0001981,0.0001981,0.0001981
83,14646,0.40723,0.66276,0.8268,0.96064,0.93346,0.97635,0.91081,0.4331,0.45058,0.82364,0.0001882,0.0001882,0.0001882
84,14820.1,0.41187,0.61507,0.83633,0.95518,0.94069,0.97881,0.91378,0.44154,0.45066,0.82458,0.0001783,0.0001783,0.0001783
85,15026,0.40261,0.61061,0.83018,0.97081,0.93306,0.97585,0.91099,0.44227,0.44849,0.82603,0.0001684,0.0001684,0.0001684
86,15182.7,0.39645,0.59927,0.8302,0.96129,0.93644,0.97711,0.91231,0.43765,0.44212,0.82544,0.0001585,0.0001585,0.0001585
87,15340.8,0.39846,0.62761,0.83484,0.96356,0.94362,0.97494,0.91079,0.42859,0.44009,0.82289,0.0001486,0.0001486,0.0001486
88,15498.8,0.405,0.64773,0.83489,0.94524,0.96171,0.97798,0.91253,0.43316,0.43385,0.82436,0.0001387,0.0001387,0.0001387
89,15659.5,0.4041,0.631,0.82658,0.94154,0.95996,0.97712,0.90931,0.43493,0.4317,0.82459,0.0001288,0.0001288,0.0001288
90,15815.8,0.40275,0.62901,0.82858,0.95833,0.94072,0.97621,0.9127,0.4297,0.42466,0.82182,0.0001189,0.0001189,0.0001189
91,15968.8,0.40502,0.54223,0.82855,0.96089,0.93399,0.97355,0.91012,0.4301,0.45375,0.82347,0.000109,0.000109,0.000109
92,16123,0.40242,0.5308,0.82732,0.94389,0.93752,0.96509,0.90233,0.43142,0.47202,0.82478,9.91e-05,9.91e-05,9.91e-05
93,16275.6,0.3994,0.52001,0.82741,0.9659,0.92979,0.9709,0.9107,0.4287,0.45208,0.82533,8.92e-05,8.92e-05,8.92e-05
94,16430.8,0.39474,0.50251,0.82944,0.96483,0.93792,0.97418,0.91187,0.42463,0.4444,0.82284,7.93e-05,7.93e-05,7.93e-05
95,16589.7,0.39278,0.48956,0.82631,0.96651,0.94007,0.97539,0.91626,0.42323,0.42933,0.82196,6.94e-05,6.94e-05,6.94e-05
96,16748.5,0.39195,0.48612,0.82477,0.96553,0.94029,0.97873,0.91761,0.4247,0.42378,0.82233,5.95e-05,5.95e-05,5.95e-05
97,16905.9,0.38703,0.48918,0.81507,0.97145,0.93522,0.97878,0.92086,0.4238,0.41956,0.82201,4.96e-05,4.96e-05,4.96e-05
98,17058.2,0.39224,0.48425,0.82481,0.97419,0.93507,0.97733,0.91722,0.42695,0.41798,0.82262,3.97e-05,3.97e-05,3.97e-05
99,17216.7,0.38988,0.49176,0.82782,0.97328,0.93361,0.97823,0.91561,0.42774,0.41591,0.82273,2.98e-05,2.98e-05,2.98e-05
100,17374.1,0.38722,0.47465,0.82424,0.97334,0.9307,0.97707,0.91743,0.42714,0.41638,0.82299,1.99e-05,1.99e-05,1.99e-05
